timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
193716964,-0.19546661,0.29191366,0.39026666,0.74719965,0.19616915,0.19668837,0.6037583
193748750,-0.18141538,0.28505158,0.42446086,0.74265337,0.1929742,0.1972219,0.6101889
193781622,-0.1318129,0.29381987,0.45070323,0.7378994,0.18944483,0.19797061,0.6167842
193813628,-0.104099974,0.31414902,0.43915224,0.7331807,0.18579544,0.19887902,0.62319607
193845637,-0.17289409,0.35870346,0.39911816,0.72836125,0.18184754,0.19986835,0.6296618
193877578,-0.20774943,0.3665951,0.40549773,0.7233587,0.17786597,0.20105758,0.63615394
193905571,-0.0988578,0.365861,0.43340436,0.71886015,0.17438312,0.20240442,0.6417656
193937654,-0.17408977,0.40412354,0.40133613,0.7135783,0.17030385,0.20410866,0.6481839
193969599,-0.19538687,0.39843655,0.42425486,0.7081441,0.16603231,0.20587023,0.65466225
194001516,-0.12150596,0.39461386,0.4703779,0.70258,0.16149111,0.20767838,0.6611897
194033579,-0.09917807,0.41744134,0.45733643,0.6968786,0.15686648,0.20968314,0.6676722
194065543,-0.15948065,0.44701028,0.4183332,0.6910314,0.15212882,0.21177405,0.67415446
194097545,-0.19036971,0.44374636,0.43488318,0.6849922,0.1475008,0.21394536,0.6806296
194129607,-0.100359045,0.41804457,0.47873875,0.67882514,0.14291844,0.21622021,0.6870369
194157542,-0.15406342,0.45327654,0.42676398,0.67339504,0.13886745,0.21819717,0.69256413
194189698,-0.12001824,0.42793602,0.45215327,0.6669648,0.13469225,0.22076012,0.698771
194222466,-0.073175415,0.4114534,0.4866579,0.6602851,0.13043498,0.22337073,0.7050644
194254372,-0.06297542,0.406965,0.48445025,0.6538016,0.12616876,0.2256106,0.7111433
194290447,-0.043622293,0.3784482,0.49587992,0.6464449,0.12158873,0.22795068,0.71788836
194318439,-0.16847779,0.38313186,0.43911132,0.6407781,0.11815791,0.22939527,0.7230629
194350494,-0.09838299,0.33377776,0.4730415,0.6342952,0.1147033,0.2310672,0.7287803
194382502,-0.05659792,0.2993983,0.48212492,0.62794775,0.11144862,0.23222706,0.7343919
194414408,-0.10946279,0.29629368,0.43041602,0.6217906,0.10825473,0.23291892,0.73986906
194446426,-0.16826713,0.26836652,0.41644505,0.61565447,0.105580196,0.23338072,0.7452221
194478422,-0.1070127,0.21122974,0.45130894,0.6096276,0.103492364,0.23374444,0.750338
194510478,-0.030600868,0.184691,0.4647171,0.6037194,0.10176788,0.23400374,0.755254
194538461,-0.170684,0.18469386,0.41022006,0.59869033,0.10026304,0.23380591,0.7595079
194571218,-0.13572733,0.14312707,0.43696675,0.5928661,0.09877549,0.23326276,0.7644224
194603158,-0.0806924,0.11505997,0.45359397,0.5873497,0.09733723,0.23227306,0.7691522
194635241,-0.12718128,0.11438625,0.4066855,0.5819928,0.095934086,0.23084734,0.7738156
194667217,-0.21142147,0.1109167,0.38068703,0.5767073,0.09473595,0.22914366,0.7784132
194699240,-0.18610229,0.067070276,0.41371617,0.5714856,0.09380317,0.2272388,0.78292257
194731264,-0.09846806,0.044997867,0.43518376,0.5663637,0.0929912,0.22527628,0.78729635
194759149,-0.22565927,0.057993025,0.37881055,0.56198454,0.09227454,0.22330776,0.7910705
194791152,-0.15281217,0.019825263,0.41681406,0.55698174,0.091772676,0.22100629,0.7953021
194823177,-0.11498018,0.0043842546,0.41731793,0.5521215,0.09126076,0.21845438,0.7994442
194855233,-0.16227126,0.019216329,0.3641958,0.5473507,0.09091916,0.21581379,0.8034709
194887150,-0.21968126,0.00093878736,0.3613536,0.5426155,0.09089569,0.21314,0.8073895
194919281,-0.15066007,-0.0356762,0.3992187,0.5379473,0.09107132,0.21036111,0.8112133
194951926,-0.09819128,-0.05040987,0.40698737,0.53327143,0.091233075,0.20735925,0.81504625
194984271,-0.13418466,-0.02754193,0.3617049,0.5287491,0.09148859,0.20441946,0.81869835
195015985,-0.20650788,-0.024462802,0.34121856,0.52421814,0.09194649,0.20151561,0.8222729
195048156,-0.15521728,-0.046644833,0.37192148,0.5196477,0.0925174,0.1987184,0.8257832
195080015,-0.07873199,-0.05120892,0.39831933,0.5151062,0.093005285,0.19605748,0.8292028
195111963,-0.10450328,-0.011113597,0.35599965,0.51057714,0.09335161,0.19351497,0.83255535
195144071,-0.18375382,0.011659941,0.3351541,0.5059453,0.093576066,0.1911443,0.8358989
195176044,-0.14159268,0.0076056807,0.36782375,0.50121075,0.093607545,0.18890531,0.8392498
195203926,-0.13503926,0.06591497,0.33587185,0.49707854,0.09316799,0.1871236,0.84215045
195236228,-0.16455786,0.08264944,0.34346035,0.49215534,0.09252075,0.18548398,0.84546953
195268084,-0.08974664,0.0892908,0.38609603,0.48711646,0.09148928,0.18421514,0.84877086
195299973,-0.06751729,0.14334697,0.37997124,0.48202997,0.089910455,0.18314913,0.8520678
195331972,-0.13878338,0.20944703,0.3322455,0.47682402,0.087682754,0.18230146,0.8554045
195364727,-0.1851024,0.23457745,0.335618,0.47127715,0.08492501,0.18166144,0.85888577
195392782,-0.061975483,0.25987035,0.3753098,0.4664165,0.08214006,0.18150021,0.8618389
195424723,-0.14718111,0.32645413,0.3308141,0.46076617,0.07835063,0.18147372,0.8652301
195456769,-0.14585109,0.3383784,0.35064375,0.4549374,0.07410734,0.18182336,0.86860824
195488818,-0.073906936,0.36463004,0.3918954,0.4489876,0.06925785,0.18247512,0.87196124
195520809,-0.09018151,0.42752433,0.36315066,0.44298825,0.063733146,0.18325202,0.8752818
195552730,-0.14638956,0.4810172,0.32207364,0.43685216,0.05764811,0.18428925,0.8785639
195584822,-0.1324915,0.48833743,0.35102925,0.43050647,0.051251158,0.18587354,0.8817532
195616775,-0.043724906,0.50915253,0.3839143,0.4240669,0.044476386,0.18786252,0.88481456
195644875,-0.1448466,0.55031455,0.31921008,0.41845638,0.03813175,0.18955849,0.8874164
195677102,-0.078227736,0.5472008,0.35646778,0.41195282,0.03085145,0.19183604,0.89024824
195709600,-0.02890886,0.55526054,0.36588687,0.40531543,0.02303311,0.19429141,0.8929948
195741615,-0.050180882,0.57930803,0.3264054,0.3988726,0.015310866,0.19658422,0.89555615
195773649,-0.12055621,0.5813989,0.295863,0.3924125,0.007700025,0.19902539,0.89796555
195805558,-0.09578506,0.5405919,0.32804805,0.38597015,0.0002872666,0.20138511,0.9002617
195837689,-0.02177767,0.5131278,0.3492722,0.37965208,-0.0068455427,0.20370623,0.9023976
195865575,-0.12538122,0.49294212,0.29892707,0.3742382,-0.012802522,0.20534322,0.90422136
195897669,-0.06516278,0.42871043,0.33808693,0.3681333,-0.018782657,0.20714423,0.9062099
195929634,-0.01366129,0.37369528,0.3310731,0.36227453,-0.024136417,0.20860487,0.9081073
195961650,-0.08375922,0.32387942,0.28202838,0.35665137,-0.028550072,0.20946962,0.91000396
195993641,-0.1286941,0.24432756,0.28899086,0.35126594,-0.031837985,0.2100147,0.9118621
196025651,-0.04857509,0.14902624,0.3297215,0.34615263,-0.034068603,0.21025252,0.9136803
