timestamp,system_id,component_id,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,engine_failure,engine_failure_cmd,mission_failure
224192321,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
224431478,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
224672988,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
224912066,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
225148253,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
225389239,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
225627521,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
225867301,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
226108227,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
226346299,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
226587278,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
226827361,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
227069922,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
227310521,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
227548445,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
227791343,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
228028706,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
228268559,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
228508989,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
228746866,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
228988107,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
229227427,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
229470768,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
229711517,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
229949259,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
230188234,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
230426384,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
230668984,1,1,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
