timestamp,safety_switch_available,safety_off,override_available,override_enabled
695998168,1,1,0,0
696018154,1,1,0,0
696038401,1,1,0,0
696058136,1,1,0,0
696078148,1,1,0,0
696102259,1,1,0,0
696122180,1,1,0,0
696144130,1,1,0,0
696167697,1,1,0,0
696191771,1,1,0,0
696215950,1,1,0,0
696235751,1,1,0,0
696255774,1,1,0,0
696279699,1,1,0,0
696299762,1,1,0,0
696319774,1,1,0,0
696339770,1,1,0,0
696363696,1,1,0,0
696387786,1,1,0,0
696411771,1,1,0,0
696435771,1,1,0,0
696459805,1,1,0,0
696479798,1,1,0,0
696503951,1,1,0,0
696527759,1,1,0,0
696547763,1,1,0,0
696571730,1,1,0,0
696591749,1,1,0,0
696615715,1,1,0,0
696639764,1,1,0,0
696660573,1,1,0,0
696681729,1,1,0,0
696705366,1,1,0,0
696725371,1,1,0,0
696745373,1,1,0,0
696765371,1,1,0,0
696789572,1,1,0,0
696809412,1,1,0,0
696829401,1,1,0,0
696853371,1,1,0,0
696877408,1,1,0,0
696897688,1,1,0,0
696917389,1,1,0,0
696941352,1,1,0,0
696961352,1,1,0,0
696985390,1,1,0,0
697009352,1,1,0,0
697029291,1,1,0,0
697053356,1,1,0,0
697077595,1,1,0,0
697097309,1,1,0,0
697121348,1,1,0,0
697141349,1,1,0,0
697165362,1,1,0,0
697186376,1,1,0,0
697206196,1,1,0,0
697226183,1,1,0,0
697250164,1,1,0,0
697274176,1,1,0,0
697294524,1,1,0,0
697318164,1,1,0,0
697342263,1,1,0,0
697362271,1,1,0,0
697386158,1,1,0,0
697410169,1,1,0,0
697434190,1,1,0,0
697458164,1,1,0,0
697478168,1,1,0,0
697502232,1,1,0,0
697522243,1,1,0,0
697546517,1,1,0,0
697570186,1,1,0,0
697590197,1,1,0,0
697614192,1,1,0,0
697638169,1,1,0,0
697658183,1,1,0,0
697682194,1,1,0,0
697702198,1,1,0,0
697726482,1,1,0,0
697750160,1,1,0,0
697770178,1,1,0,0
697794145,1,1,0,0
697814140,1,1,0,0
697838148,1,1,0,0
697858151,1,1,0,0
697882985,1,1,0,0
697904035,1,1,0,0
697927771,1,1,0,0
697947771,1,1,0,0
697971773,1,1,0,0
697991771,1,1,0,0
698012005,1,1,0,0
698031771,1,1,0,0
698055778,1,1,0,0
698079751,1,1,0,0
698099692,1,1,0,0
698123770,1,1,0,0
698143754,1,1,0,0
698163764,1,1,0,0
698183707,1,1,0,0
698207773,1,1,0,0
698231730,1,1,0,0
698251741,1,1,0,0
698275748,1,1,0,0
698295782,1,1,0,0
698319765,1,1,0,0
698339691,1,1,0,0
698363775,1,1,0,0
698387748,1,1,0,0
698408009,1,1,0,0
698429358,1,1,0,0
698453369,1,1,0,0
698477592,1,1,0,0
698497371,1,1,0,0
698521389,1,1,0,0
698541387,1,1,0,0
698565370,1,1,0,0
698589370,1,1,0,0
698609373,1,1,0,0
698633392,1,1,0,0
698653409,1,1,0,0
698677370,1,1,0,0
698697371,1,1,0,0
698721390,1,1,0,0
698741417,1,1,0,0
698761371,1,1,0,0
698781389,1,1,0,0
698805337,1,1,0,0
698829351,1,1,0,0
698849349,1,1,0,0
698873585,1,1,0,0
698893348,1,1,0,0
698913349,1,1,0,0
698933333,1,1,0,0
698954995,1,1,0,0
698974990,1,1,0,0
698998948,1,1,0,0
699022987,1,1,0,0
699042991,1,1,0,0
699066986,1,1,0,0
699086971,1,1,0,0
699110997,1,1,0,0
699131008,1,1,0,0
699154968,1,1,0,0
699174971,1,1,0,0
699199223,1,1,0,0
699222969,1,1,0,0
699242973,1,1,0,0
699266954,1,1,0,0
699286978,1,1,0,0
699310971,1,1,0,0
699330896,1,1,0,0
699354892,1,1,0,0
699374974,1,1,0,0
699394976,1,1,0,0
699418883,1,1,0,0
699442950,1,1,0,0
699467805,1,1,0,0
699488571,1,1,0,0
699508513,1,1,0,0
699528604,1,1,0,0
699552572,1,1,0,0
699576613,1,1,0,0
699600571,1,1,0,0
699624570,1,1,0,0
699644570,1,1,0,0
699668638,1,1,0,0
699692570,1,1,0,0
699716613,1,1,0,0
699736799,1,1,0,0
699756600,1,1,0,0
699780570,1,1,0,0
699804579,1,1,0,0
699824590,1,1,0,0
699848564,1,1,0,0
699868487,1,1,0,0
699892636,1,1,0,0
699916803,1,1,0,0
699936541,1,1,0,0
699960552,1,1,0,0
699980585,1,1,0,0
700002196,1,1,0,0
700022195,1,1,0,0
700046216,1,1,0,0
700070180,1,1,0,0
700094231,1,1,0,0
700118162,1,1,0,0
700138169,1,1,0,0
