timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
653183360,-0.14893305,-0.04619813,0.16488424,-0.95102274,0.007355836,0.0033806213,-0.3090149,0.10171716,0.05032503,0.056192018,-0.9919493,1
653215355,0.10338628,0.048098594,0.12480864,-0.9509028,0.0077188658,0.0032099744,-0.3093767,0.10171716,0.05032503,0.056192018,-0.9919493,1
653247445,0.16862853,-0.06422397,0.010884497,-0.95075864,0.008011968,0.0029306961,-0.30981487,0.10171716,0.05032503,0.056192018,-0.9919493,1
653275305,-0.14665535,0.063683,0.280705,-0.95064425,0.008547798,0.0026814623,-0.31015354,0.10171716,0.05032503,0.056192018,-0.9919493,1
653307333,0.10235507,0.112143904,0.038025104,-0.9506275,0.008504613,0.0021877503,-0.31021002,0.10171716,0.05032503,0.056192018,-0.9919493,1
653339243,0.07215615,0.111363135,-0.21567938,-0.95056194,0.008972295,0.0022298833,-0.3103975,0.10171716,0.05032503,0.056192018,-0.9919493,1
653371318,-0.05178328,0.100426994,0.09615861,-0.95040286,0.008704159,0.0019103544,-0.31089425,0.10171716,0.05032503,0.056192018,-0.9919493,1
653403323,-0.046252724,0.06315042,-0.037900485,-0.9504398,0.007859474,0.0015853401,-0.31080547,0.10171716,0.05032503,0.056192018,-0.9919493,1
653435263,0.2332992,0.06758274,-0.008549947,-0.9503128,0.007179456,0.0013510251,-0.31121087,0.10171716,0.05032503,0.056192018,-0.9919493,1
653467263,-0.07878406,0.04198768,-0.046209827,-0.950278,0.007566637,0.0014877112,-0.3113077,0.10171716,0.05032503,0.056192018,-0.9919493,1
653499311,-0.21617994,-0.03529361,0.18632586,-0.9502303,0.0071877884,0.0011168642,-0.3114634,0.10171716,0.05032503,0.056192018,-0.9919493,1
653527260,0.08373735,-0.017739743,-0.21819723,-0.95024616,0.0065804566,0.0009051803,-0.3114292,0.10171716,0.05032503,0.056192018,-0.9919493,1
653559333,-0.011896663,-0.028034624,-0.09010323,-0.950233,0.007481142,0.0010005132,-0.311449,0.10171716,0.05032503,0.056192018,-0.9919493,1
653591263,-0.05303928,-0.11222647,0.31567127,-0.95010346,0.0075982,0.0007751374,-0.31184164,0.10171716,0.05032503,0.056192018,-0.9919493,1
653623291,0.07196208,0.022256423,0.11966913,-0.9502114,0.0077728694,0.00066444883,-0.31150854,0.10171716,0.05032503,0.056192018,-0.9919493,1
653656101,0.20291075,0.026488911,0.062396355,-0.9502,0.0077267243,0.0004003364,-0.31154478,0.10171716,0.05032503,0.056192018,-0.9919493,1
653688065,0.016289972,0.067673266,-0.09796969,-0.9502519,0.008076277,0.00048687702,-0.3113774,0.10171716,0.05032503,0.056192018,-0.9919493,1
653720179,0.041220374,-0.041108526,-0.069997266,-0.95026195,0.007298366,0.00028145313,-0.31136623,0.10171716,0.05032503,0.056192018,-0.9919493,1
653752246,0.11946062,0.015726771,-0.11306943,-0.95030475,0.006771325,0.0005596395,-0.3112473,0.10171716,0.05032503,0.056192018,-0.9919493,1
653784123,0.08567141,-0.015656207,0.050559685,-0.9502099,0.006329972,0.0010184412,-0.3115446,0.10171716,0.05032503,0.056192018,-0.9919493,1
653816064,-0.23694669,0.07259171,0.02170116,-0.95028764,0.006263973,0.001603415,-0.3113063,0.10171716,0.05032503,0.056192018,-0.9919493,1
653848143,-0.14775574,0.08221332,0.09985691,-0.9502617,0.0056466735,0.0015545576,-0.31139755,0.10171716,0.05032503,0.056192018,-0.9919493,1
653880121,-0.012090413,0.006117027,-0.14731011,-0.9503411,0.0057689967,0.002098571,-0.31114978,0.10171716,0.05032503,0.056192018,-0.9919493,1
653912287,-0.023601653,-0.039984237,0.05831196,-0.9502834,0.006411759,0.002317538,-0.31131163,0.10171716,0.05032503,0.056192018,-0.9919493,1
653944094,-0.22409636,-0.08402376,0.1821878,-0.9503127,0.006588987,0.002150977,-0.31121984,0.10171716,0.05032503,0.056192018,-0.9919493,1
653976099,0.22310708,0.023526216,0.06400277,-0.9504641,0.006370925,0.0013868283,-0.31076622,0.10171716,0.05032503,0.056192018,-0.9919493,1
654008093,0.17800237,0.010131035,-0.11325276,-0.9504346,0.0067325733,0.0010673072,-0.31084996,0.10171716,0.05032503,0.056192018,-0.9919493,1
